"game","home_team","away_team","market_type","pick","model_prob","implied_prob","no_vig_ev","kelly","confidence","is_recommended","exp_home_score","exp_away_score","odds_current","cold_start"
"DET @ ARI","ARI","DET","Spread","ARI +1.5","0.7467","0.5726","0.304","0.4073","1","True","6.6","5.69","-134","False"
"DET @ ARI","ARI","DET","ML","ARI ML","0.6079","0.4367","0.3922","0.304","1","True","6.6","5.69","129","False"
"DET @ ARI","ARI","DET","ML","DET ML","0.3921","0.6016","-0.3483","0","0","False","6.6","5.69","-151","False"
"DET @ ARI","ARI","DET","Total","Over 7.5","0.92","0.5349","0.72","0.828","1","True","6.6","5.69","-115","False"
"DET @ ARI","ARI","DET","Total","Under 7.5","0.08","0.5122","-0.8438","0","0","False","6.6","5.69","-105","False"
"DET @ ARI","ARI","DET","Team Total","ARI Over 3.5","0.8928","0.3906","1.2856","0.8241","1","True","6.6","5.69","156","False"
"DET @ ARI","ARI","DET","Team Total","ARI Under 3.5","0.1072","0.6711","-0.8402","0","0","False","6.6","5.69","-204","False"
"DET @ ARI","ARI","DET","Team Total","DET Over 4.5","0.6591","0.4484","0.4697","0.3819","1","True","6.6","5.69","123","False"
"DET @ ARI","ARI","DET","Team Total","DET Under 4.5","0.3409","0.6124","-0.4433","0","0","False","6.6","5.69","-158","False"
"NYY @ SEA","SEA","NYY","Spread","SEA +1.5","0.8308","0.5349","0.5532","0.6362","1","True","6.72","4.88","-115","False"
"NYY @ SEA","SEA","NYY","ML","SEA ML","0.7183","0.5392","0.3322","0.3887","1","True","6.72","4.88","-117","False"
"NYY @ SEA","SEA","NYY","ML","NYY ML","0.2817","0.5","-0.4366","0","0","False","6.72","4.88","-100","False"
"NYY @ SEA","SEA","NYY","Total","Over 7.0","0.887","0.5025","0.7652","0.7729","1","True","6.72","4.88","-101","False"
"NYY @ SEA","SEA","NYY","Total","Under 7.0","0.113","0.5434","-0.792","0","0","False","6.72","4.88","-119","False"
"NYY @ SEA","SEA","NYY","Team Total","SEA Over 3.5","0.8988","0.3968","1.265","0.8322","1","True","6.72","4.88","152","False"
"NYY @ SEA","SEA","NYY","Team Total","SEA Under 3.5","0.1012","0.6656","-0.8479","0","0","False","6.72","4.88","-199","False"
"NYY @ SEA","SEA","NYY","Team Total","NYY Over 3.5","0.5319","0.4016","0.3243","0.2177","0.8707","True","6.72","4.88","149","False"
"NYY @ SEA","SEA","NYY","Team Total","NYY Under 3.5","0.4681","0.661","-0.2918","0","0","False","6.72","4.88","-195","False"
"SFG @ SDP","SDP","SFG","Spread","SDP -1.5","0.8668","0.4167","1.0803","0.7716","1","True","7.53","5.04","140","False"
"SFG @ SDP","SDP","SFG","ML","SDP ML","0.7754","0.6078","0.2757","0.4274","1","True","7.53","5.04","-155","False"
"SFG @ SDP","SDP","SFG","ML","SFG ML","0.2246","0.431","-0.479","0","0","False","7.53","5.04","132","False"
"SFG @ SDP","SDP","SFG","Total","Over 8.0","0.9301","0.5238","0.7756","0.8532","1","True","7.53","5.04","-110","False"
"SFG @ SDP","SDP","SFG","Total","Under 8.0","0.0699","0.5238","-0.8665","0","0","False","7.53","5.04","-110","False"
"SFG @ SDP","SDP","SFG","Team Total","SDP Over 4.5","0.9384","0.4444","1.1115","0.8892","1","True","7.53","5.04","125","False"
"SFG @ SDP","SDP","SFG","Team Total","SDP Under 4.5","0.0616","0.6198","-0.9007","0","0","False","7.53","5.04","-163","False"
"SFG @ SDP","SDP","SFG","Team Total","SFG Over 3.5","0.5625","0.4255","0.3219","0.2385","0.9539","True","7.53","5.04","135","False"
"SFG @ SDP","SDP","SFG","Team Total","SFG Under 3.5","0.4375","0.6377","-0.314","0","0","False","7.53","5.04","-176","False"
"MIN @ KCR","KCR","MIN","Spread","KCR +1.5","0.8783","0.6283","0.3981","0.6728","1","True","7.04","4.42","-169","False"
"MIN @ KCR","KCR","MIN","ML","KCR ML","0.7904","0.505","0.5654","0.5767","1","True","7.04","4.42","-102","False"
"MIN @ KCR","KCR","MIN","ML","MIN ML","0.2096","0.5349","-0.6082","0","0","False","7.04","4.42","-115","False"
"MIN @ KCR","KCR","MIN","Total","Over 8.5","0.8763","0.5122","0.7109","0.7464","1","True","7.04","4.42","-105","False"
"MIN @ KCR","KCR","MIN","Total","Under 8.5","0.1237","0.5349","-0.7688","0","0","False","7.04","4.42","-115","False"
"MIN @ KCR","KCR","MIN","Team Total","KCR Over 3.5","0.9137","0.4464","1.0467","0.8441","1","True","7.04","4.42","124","False"
"MIN @ KCR","KCR","MIN","Team Total","KCR Under 3.5","0.0863","0.6169","-0.8601","0","0","False","7.04","4.42","-161","False"
"MIN @ KCR","KCR","MIN","Team Total","MIN Over 4.5","0.4469","0.4329","0.0323","0.0246","0.0985","False","7.04","4.42","131","False"
"MIN @ KCR","KCR","MIN","Team Total","MIN Under 4.5","0.5531","0.631","-0.1234","0","0","False","7.04","4.42","-171","False"
"CLE @ LAD","LAD","CLE","Spread","LAD -1.5","0.8672","0.5475","0.5838","0.7064","1","True","7.25","4.77","-121","False"
"CLE @ LAD","LAD","CLE","ML","LAD ML","0.7742","0.7283","0.0631","0.1691","0.6766","True","7.25","4.77","-268","False"
"CLE @ LAD","LAD","CLE","ML","CLE ML","0.2258","0.3115","-0.2753","0","0","False","7.25","4.77","221","False"
"CLE @ LAD","LAD","CLE","Total","Over 8.0","0.9079","0.5146","0.7644","0.8102","1","True","7.25","4.77","-106","False"
"CLE @ LAD","LAD","CLE","Total","Under 8.0","0.0921","0.5327","-0.8271","0","0","False","7.25","4.77","-114","False"
"CLE @ LAD","LAD","CLE","Team Total","LAD Over 4.5","0.9224","0.5536","0.6663","0.8262","1","True","7.25","4.77","-124","False"
"CLE @ LAD","LAD","CLE","Team Total","LAD Under 4.5","0.0776","0.5098","-0.8478","0","0","False","7.25","4.77","-104","False"
"CLE @ LAD","LAD","CLE","Team Total","CLE Over 2.5","0.5167","0.5798","-0.1089","0","0","False","7.25","4.77","-138","False"
"CLE @ LAD","LAD","CLE","Team Total","CLE Under 2.5","0.4833","0.4831","0.0004","0.0004","0.0017","False","7.25","4.77","107","False"
